,Modelo,Cadena de configuración,Accuracy,Error,Precision,Recall,F1
0,Decision tree,"D Tree train,md=3",0.8418277680140598,0.15817223198594021,0.9044585987261147,0.6543778801843319,0.7593582887700536
1,Decision tree,"D Tree val,md=3",0.7972027972027972,0.2027972027972028,0.8285714285714286,0.5576923076923077,0.6666666666666667
2,Decision tree,"D Tree val,md=5",0.7832167832167832,0.21678321678321677,0.7692307692307693,0.5769230769230769,0.6593406593406593
3,SVM,"SVM train1,C=0.8",0.7996485061511424,0.20035149384885764,0.7587939698492462,0.695852534562212,0.7259615384615383
4,SVM,"SVM val1,C=0.8",0.7482517482517482,0.2517482517482518,0.66,0.6346153846153846,0.6470588235294118
5,Naive Bayes,Naive Bayes train,0.7627416520210897,0.23725834797891032,0.6880733944954128,0.6912442396313364,0.6896551724137931
6,Naive Bayes,Naive Bayes validation,0.7482517482517482,0.2517482517482518,0.6428571428571429,0.6923076923076923,0.6666666666666666
7,RL,"rl_train,lr=0.01,fr=0.01,epoch=200,batch=30",0.29173989455184535,0.7082601054481547,0.29333333333333333,0.6082949308755761,0.39580209895052476
8,RL,"rl_train,lr=0.001,fr=10,epoch=200,batch=30",0.0,1.0,0.0,0.0,0.0
9,RL,"rl_train,lr=0.0001,fr=5,epoch=200,batch=30",0.0,1.0,0.0,0.0,0.0
10,RL,"rl_train,lr=0.0001,fr=0.01,epoch=200,batch=30",0.9929701230228472,0.007029876977152849,0.9953488372093023,0.9861751152073732,0.9907407407407408
11,RL,"rl_val,lr=0.0001,fr=0.01,epoch=200,batch=30",0.6713286713286714,0.32867132867132864,0.5423728813559322,0.6153846153846154,0.5765765765765766
